#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: air_idle.png (984 x 1880)
# $TexturePacker:SmartUpdate:17497a3c1ca91362582ecbf493098e07:3b1ec9e5c8479696e1eab38679c6f7ed:178f2f89358a5831556e3badfcaa221f$
#

animtion0_0;0;500;548;235;543;256;551;0.5063829787234042;0.49263351749539597
animtion0_1;0;747;1;236;543;256;551;0.5084745762711864;0.49263351749539597
animtion0_2;1;1;1641;543;238;256;551;0.5084033613445378;0.49263351749539597
animtion0_3;0;741;1092;239;543;256;551;0.5104602510460251;0.49263351749539597
animtion0_4;0;737;547;240;543;256;551;0.5083333333333333;0.49263351749539597
animtion0_5;0;496;1095;243;544;256;551;0.5102880658436214;0.49356617647058826
animtion0_6;0;502;1;243;544;256;551;0.51440329218107;0.49356617647058826
animtion0_7;0;250;1095;244;544;256;551;0.5122950819672131;0.49356617647058826
animtion0_8;0;252;548;246;545;256;551;0.5121951219512195;0.4944954128440367
animtion0_9;0;1;1095;247;544;256;551;0.5141700404858299;0.49356617647058826
animtion0_10;0;252;1;248;545;256;551;0.5161290322580645;0.4944954128440367
animtion0_11;0;1;1;249;545;256;551;0.5140562248995983;0.4944954128440367
animtion0_12;0;1;548;249;545;256;551;0.5140562248995983;0.4944954128440367
animtion0_13;0;1;1;249;545;256;551;0.5140562248995983;0.4944954128440367
animtion0_14;0;252;1;248;545;256;551;0.5161290322580645;0.4944954128440367
animtion0_15;0;1;1095;247;544;256;551;0.5141700404858299;0.49356617647058826
animtion0_16;0;252;548;246;545;256;551;0.5121951219512195;0.4944954128440367
animtion0_17;0;250;1095;244;544;256;551;0.5122950819672131;0.49356617647058826
animtion0_18;0;502;1;243;544;256;551;0.51440329218107;0.49356617647058826
animtion0_19;0;496;1095;243;544;256;551;0.5102880658436214;0.49356617647058826
animtion0_20;0;737;547;240;543;256;551;0.5083333333333333;0.49263351749539597
animtion0_21;0;741;1092;239;543;256;551;0.5104602510460251;0.49263351749539597
animtion0_22;1;1;1641;543;238;256;551;0.5084033613445378;0.49263351749539597
animtion0_23;0;747;1;236;543;256;551;0.5084745762711864;0.49263351749539597
