#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: air_run.png (2044 x 1924)
# $TexturePacker:SmartUpdate:40578df23c2fdb924fc36c37440397ab:4874e62288c3973dd6b824b896748937:0d1b1569ce89cd26e39d0843445ce3db$
#

animtion0_0;1;1;1244;491;322;358;549;0.5;0.5061099796334012
animtion0_1;1;1;928;497;314;358;549;0.5127388535031847;0.5
animtion0_2;1;1;1;502;304;358;549;0.5296052631578947;0.4950199203187251
animtion0_3;1;1015;1;506;306;358;549;0.5588235294117647;0.49110671936758893
animtion0_4;1;1529;932;509;316;358;549;0.5664556962025317;0.4862475442043222
animtion0_5;1;1523;1;508;306;358;549;0.5424836601307189;0.48523622047244097
animtion0_6;1;505;1;508;305;358;549;0.5311475409836065;0.48523622047244097
animtion0_7;1;1;308;510;306;358;549;0.5261437908496732;0.48137254901960785
animtion0_8;1;1524;309;513;308;358;549;0.5194805194805194;0.4766081871345029
animtion0_9;1;1020;619;511;310;358;549;0.5161290322580645;0.4765166340508806
animtion0_10;1;1;616;509;310;358;549;0.5193548387096775;0.47838899803536344
animtion0_11;1;1533;619;510;311;358;549;0.5209003215434084;0.47941176470588237
animtion0_12;1;512;619;506;310;358;549;0.5258064516129032;0.48320158102766797
animtion0_13;1;513;308;500;309;358;549;0.5275080906148867;0.489
animtion0_14;1;1015;309;507;308;358;549;0.525974025974026;0.48422090729783035
animtion0_15;1;500;931;511;311;358;549;0.5337620578778135;0.48043052837573386
animtion0_16;1;1013;931;514;316;358;549;0.5379746835443038;0.4776264591439689
animtion0_17;1;1475;1250;515;333;358;549;0.5375375375375375;0.4786407766990291
animtion0_18;1;506;1581;513;338;358;549;0.5207100591715976;0.48050682261208577
animtion0_19;1;1021;1585;511;338;358;549;0.5118343195266272;0.4843444227005871
animtion0_20;1;1;1572;503;337;358;549;0.5014836795252225;0.49204771371769385
animtion0_21;1;1534;1585;493;338;358;549;0.4911242603550296;0.5040567951318459
animtion0_22;1;983;1249;490;330;358;549;0.48787878787878786;0.5071428571428571
animtion0_23;1;494;1244;487;326;358;549;0.4938650306748466;0.5102669404517454
